Target,National mean forecast,Cross-province dispersion,Min forecast,Max forecast,Interval width summary
SC11,0.9655453323121803,0.09680709506907059,0.7794976056266892,1.288776875077993,0.3485247697516992
SC12,1.3776698304497772,0.23329446988486538,0.813186168699904,1.8750409595239903,0.40258277933167425
SC13,1.4121230412903878,0.10543504038944483,1.1896609883693066,1.578463372883744,0.28836624650120096
SC14,0.9937365401254719,0.10404441674231668,0.7195744099540864,1.2438413544294675,0.5596262280957037
SC21,0.8678352324199562,0.05317068708850752,0.7629028739405918,1.0169125893348008,0.4483529031491526
SC22,1.6906433931701754,0.10916205936410064,1.3864479887467398,1.880485292662319,0.37336513640485747
SC23,1.3528351159722638,0.0653941816297355,1.204321906988118,1.5250727357706997,0.30929716227135534
SC24,1.3629867856256015,0.045691722822503486,1.2652084349720338,1.453588193703244,0.23380165592654054
SC31,1.9748851850181952,0.05361343809703861,1.829940840579921,2.1085207638260948,0.3455108509893483
SC32,0.9850629724985605,0.07628293281541966,0.8135576563960466,1.1611045206154442,0.4134226864682404
SC33,1.828723310051538,0.08732579002029744,1.5719308525020002,2.012167136980188,0.6137739564269746
SC41,1.659951540775009,0.09256510403262952,1.4034918130209406,1.8349983624390125,0.4961268797030587
SC42,2.0295118610679315,0.04662999055796284,1.8594279654038512,2.1415956290281533,0.3116383639465639
SC43,1.2630739188354851,0.11147017292459872,1.0569529949261196,1.518418956256255,0.4485896727162167
SC44,1.934657826824503,0.03618623785832154,1.7668393925718844,1.9848497206702964,0.2505490042777875
SC51,2.374662488847396,0.07345619181861555,2.193203247869252,2.566670950567957,0.5578078566804243
SC53,2.3949387888888887,0.06960742069804914,2.1959157,2.5265007,0.5444853698412698
SC54,2.4269390549946164,0.04353560360639749,2.336703320821355,2.5079974022533778,0.3861425902036932
SC61,1.9260860356420213,0.07461537004557504,1.713004280949469,2.1044355685299827,0.21933446491133674
SC62,1.7212792498645124,0.2129196390212605,1.0975661305923157,2.08837922397402,0.5735560326368639
SC63,1.9965939448464605,0.14835917022017106,1.7372651680435578,2.3175994526188664,0.30355136655102316
SC64,2.049944593950988,0.03569841426673381,1.9598871207381496,2.106707463926948,0.25200162049795694
SC71,0.9314964672173908,0.07085399283515591,0.7980060000384672,1.1116409410183947,0.3502343954584773
SC72,1.9363814268600346,0.09153279206322955,1.6233349905494614,2.189875168477984,0.2740931624188159
SC73,0.6031391763487517,0.15287354359597835,0.3706867532743202,1.1555404617236211,0.33553813110416236
SC81,0.4542521675163284,0.03806059760017979,0.3957382738180478,0.575737918475491,0.12248018170737458
SC82,2.338887615351438,0.17442763704575162,1.9554518725772336,2.758812058780122,0.685110879298737
SC83,0.5329811565897644,0.07588608285416132,0.3897811067557747,0.6944002176130116,0.5131489297258386
